index,hora,clave,empleado_clave,grupo,salon,dia
664,M3,810,95512,001,infb,3
665,M3,810,95512,001,infb,5
666,M4,819,96544,002,4112,1
667,M4,819,96544,002,4112,3
668,M4,819,96544,002,4112,5
669,N4,150,94868,035,4113,2
670,N5,158,16541,017,4102,1
671,N5,158,16541,017,4102,3
672,N5,158,16541,017,4102,5
673,N4,745,93999,006,4108,4
674,N4,107,18592,020,4112,1
675,N4,107,18592,020,4112,3
676,N4,107,18592,020,4112,5
677,N2,150,18592,034,4101,1
678,N2,150,18592,034,4101,3
679,N2,150,18592,034,4101,5
680,N3,744,106892,009,1103,1
681,N3,744,106892,009,1103,3
682,N3,744,106892,009,1103,5
683,N1,745,93999,002,4203,4
684,N1,849,102500,007,4204,2
685,N3,108,16702,003,4202,1
686,N3,108,16702,003,4202,3
687,N3,108,16702,003,4202,5
688,N1,155,98484,007,7101,1
689,N1,155,98484,007,7101,3
690,N1,155,98484,007,7101,5
691,M5,413,104105,003,7118,1
692,M5,413,104105,003,7118,3
693,M5,413,104105,003,7118,5
694,N2,104,5428,010,3204,1
695,N2,104,5428,010,3204,3
696,N2,104,5428,010,3204,5
697,N4,113,92170,007,2103,1
698,N4,113,92170,007,2103,3
699,N4,113,92170,007,2103,5
700,N5,115,95500,007,3103,1
701,N5,115,95500,007,3103,3
702,N5,115,95500,007,3103,5
703,N6,411,97051,009,9204,1
704,N6,411,97051,009,9204,3
705,N6,411,97051,009,9204,5
706,N3,744,93695,008,4207,1
707,N3,744,93695,008,4207,3
708,N3,744,93695,008,4207,5
709,N1,021,12995,007,1101,4
710,N4,061,91453,009,2204,4
711,N3,327,105528,021,7117,1
712,N3,327,105528,021,7117,3
713,N3,327,105528,021,7117,5
714,N5,401,102333,014,2102,1
715,N5,401,102333,014,2102,3
716,N5,401,102333,014,2102,5
717,N1,608,19300,022,2102,1
718,N1,608,19300,022,2102,3
719,N1,608,19300,022,2102,5
720,N4,064,93301,019,6306,1
721,N4,064,93301,019,6306,3
722,N4,064,93301,019,6306,5
723,N3,130,92170,005,2105,1
724,N3,130,92170,005,2105,3
725,N3,130,92170,005,2105,5
726,N6,172,103645,008,1204,1
727,N6,172,103645,008,1204,3
728,N6,172,103645,008,1204,5
729,N4,812,98080,001,4106,4
730,N5,818,93249,004,2303,1
731,N5,818,93249,004,2303,3
732,N5,818,93249,004,2303,5
733,N3,103,257,029,3206,1
734,N3,103,257,029,3206,3
735,N3,103,257,029,3206,5
736,N1,104,100135,009,2304,2
737,N1,112,93996,014,3306,4
738,N2,119,80414,021,9201,1
739,N2,119,80414,021,9201,3
740,N2,119,80414,021,9201,5
741,N5,411,97051,008,9203,1
742,N5,411,97051,008,9203,3
743,N5,411,97051,008,9203,5
744,M3,020,82705,006,6305,1
745,M3,020,82705,006,6305,3
746,M3,020,82705,006,6305,5
747,V1,840,95168,008,7206,2
748,M1,081,104655,001,6305,2
749,N4,108,95827,002,9301,1
750,N4,108,95827,002,9301,3
751,N4,108,95827,002,9301,5
752,M1,112,82911,001,4111,4
753,N4,155,106249,017,5101,2
754,M2,003,83833,009,6304,1
755,M2,003,83833,009,6304,3
756,M2,003,83833,009,6304,5
757,V1,163,16918,002,9103,1
758,V1,163,16918,002,9103,3
759,V1,163,16918,002,9103,5
760,M4,400,6121,011,1202,2
761,M3,602,18308,009,3101,1
762,M3,602,18308,009,3101,3
763,M3,602,18308,009,3101,5
764,M4,604,17309,009,2205,1
765,M4,604,17309,009,2205,3
766,M4,604,17309,009,2205,5
767,M5,800,19336,022,4203,1
768,M5,800,19336,022,4203,3
769,M5,800,19336,022,4203,5
770,N6,001,95183,047,3305,1
771,N6,001,95183,047,3305,2
772,N6,001,95183,047,3305,5
773,N5,002,95183,047,3305,1
774,N5,002,95183,047,3305,2
775,N5,002,95183,047,3305,5
776,N2,600,93995,041,3305,1
777,N2,600,93995,041,3305,2
778,N2,600,93995,041,3305,5
779,N1,601,84480,039,3305,1
780,N1,601,84480,039,3305,2
781,N1,601,84480,039,3305,5
782,N3,605,99782,041,3305,1
783,N3,605,99782,041,3305,2
784,N3,605,99782,041,3305,5
785,N4,607,96540,045,3305,1
786,N4,607,96540,045,3305,2
787,N4,607,96540,045,3305,5
788,N1,616,83984,056,6201,4
789,V6,916,fi9630,049,2206,5
790,N4,042,93598,017,3207,4
791,N1,062,93937,010,1104,4
792,N3,502,100554,019,5102,1
793,N3,502,100554,019,5102,3
794,N3,502,100554,019,5102,5
795,V4,538,85016,001,H204,1
796,N2,545,101154,001,HLESA,2
797,N4,557,105590,004,H204,1
798,V4,571,101297,002,H301,2
799,V4,572,103674,003,H203,4
800,N2,573,101512,001,H202,5
801,N2,176,fi5350,003,3101,1
802,N2,176,fi5350,003,3101,3
803,N2,176,fi5350,003,3101,5
804,N3,610,85674,008,4112,1
